Data Type, Beam Search Type, Update Method, Beam Width, Training Accuracy, Testing Accuracy, End Time
data/nettalk\train.txt,0,0,1,0.7308196428571427,0.7498581080684023,2017-03-19 09:40:50
data/ocr\train.txt,0,0,1,0.7995842017407512,0.6021035067067699,2017-03-19 10:26:26
data/nettalk\train.txt,0,0,5,0.7320805194805193,0.7095769683747623,2017-03-19 10:30:17
data/ocr\train.txt,0,0,5,0.7735869739064625,0.5441488265196484,2017-03-19 10:59:21
data/nettalk\train.txt,0,0,10,0.7350166708291708,0.7383565179918119,2017-03-19 11:02:42
data/ocr\train.txt,0,0,10,0.8112074028208213,0.5898328923604876,2017-03-19 12:40:20
data/nettalk\train.txt,0,0,15,0.742624249361749,0.7563860454088396,2017-03-19 13:23:19
data/ocr\train.txt,0,0,15,0.7967421866383526,0.5918309742657855,2017-03-19 14:26:44
data/nettalk\train.txt,0,0,25,0.7485946234321231,0.7405591810150634,2017-03-19 15:19:50
data/ocr\train.txt,0,0,25,0.7547961623041494,0.5333439015169928,2017-03-19 16:02:45
data/nettalk\train.txt,0,0,50,0.740096076146076,0.7262041439769381,2017-03-19 16:14:33
data/ocr\train.txt,0,0,50,0.7536158596462109,0.4715060508733502,2017-03-19 17:15:27
data/nettalk\train.txt,0,0,100,0.7433365509490507,0.7489736322501028,2017-03-19 18:11:04
data/ocr\train.txt,0,0,100,0.7873127139101577,0.582142651159608,2017-03-19 20:52:16
data/nettalk\train.txt,0,1,1,0.6544440170940173,0.5833485366757432,2017-03-19 21:05:39
data/ocr\train.txt,0,1,1,0.7851727479123642,0.5808138474511846,2017-03-19 22:21:41
data/nettalk\train.txt,0,1,5,0.6616780719280719,0.6453638907660968,2017-03-19 22:37:19
data/ocr\train.txt,0,1,5,0.6458928230094361,0.48511181756262434,2017-03-19 23:01:26
data/nettalk\train.txt,0,1,10,0.6536084873459875,0.6814018817783526,2017-03-19 23:20:54
data/ocr\train.txt,0,1,10,0.7244398838648034,0.5478489990608043,2017-03-20 00:20:39
data/nettalk\train.txt,0,1,15,0.6411173174048179,0.6241501210390921,2017-03-20 00:27:49
