Data Type, Beam Search Type, Update Method, Beam Width, Training Accuracy, Testing Accuracy, End Time
data/nettalk\train.txt,1,0,1,0.7274728951603954,0.7031326321554263,2017-03-20 06:59:29
data/ocr\train.txt,1,0,1,0.7315577970130684,0.443002903529219,2017-03-20 07:28:42
data/nettalk\train.txt,1,0,5,0.7417246225996224,0.7449207337597044,2017-03-20 08:42:09
data/ocr\train.txt,1,0,5,0.8390035949141379,0.5982726488925509,2017-03-20 12:13:45
data/nettalk\train.txt,1,0,10,0.7416238539238538,0.7273294857103678,2017-03-20 12:48:52
data/ocr\train.txt,1,0,10,0.8557399026248865,0.6432397611808923,2017-03-21 00:46:16
data/nettalk\train.txt,1,0,15,0.7480952353202353,0.7407557796778383,2017-03-21 05:46:25
data/ocr\train.txt,1,0,15,0.8748855776811046,0.635468925038595,2017-03-21 17:20:33
data/nettalk\train.txt,1,0,25,0.7428809634809634,0.7260550397315102,2017-03-21 19:44:52
data/ocr\train.txt,1,0,25,0.8548763891415647,0.6133987721693697,2017-03-22 15:54:16
data/nettalk\train.txt,1,0,50,0.7407433372183372,0.7608510367900074,2017-03-22 21:00:10
data/nettalk\train.txt,1,0,100,0.7466432151182151,0.768298206287177,2017-03-23 20:59:35
